expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
LAMJ76101,LAMJ,1976,Spring,E Ridge,19,13,1976-04-28,True,1,6983.0,False,False,4.0,
MANA76101,MANA,1976,Spring,NE Face,9,0,1976-05-05,False,4,7800.0,True,True,5.0,
JANU76101,JANU,1976,Spring,NE Ridge-N Face,17,13,1976-05-11,True,1,7711.0,False,False,6.0,
DHA197106,DHA1,1997,Spring,NE Ridge,12,3,1997-05-25,True,1,8167.0,False,False,4.0,
TUKU97101,TUKU,1997,Spring,SW Ridge,10,0,1997-05-03,False,10,6690.0,True,False,2.0,
DHA197101,DHA1,1997,Spring,NE Ridge,2,2,1997-05-31,True,1,8167.0,False,False,3.0,
ANN197101,ANN1,1997,Spring,NE Buttress-N Face,7,0,1997-03-19,False,5,7250.0,False,False,2.0,
DHA197102,DHA1,1997,Spring,NE Ridge,2,0,1997-04-27,False,5,6900.0,False,False,1.0,
TUKU97103,TUKU,1997,Spring,NW Ridge,1,1,1997-04-10,True,1,6920.0,False,False,,solo
TUKU97102,TUKU,1997,Spring,NW Ridge,2,0,1997-05-01,False,7,6300.0,False,False,1.0,
DHA197103,DHA1,1997,Spring,NE Ridge,5,3,1997-04-27,True,1,8167.0,False,False,3.0,
DHA197104,DHA1,1997,Spring,NE Ridge,4,0,1997-05-04,False,5,7800.0,False,False,3.0,
DHA197105,DHA1,1997,Spring,NE Ridge,8,0,1997-05-08,False,4,7800.0,False,False,3.0,
DHA197107,DHA1,1997,Spring,NE Ridge,6,0,1997-05-06,False,4,7250.0,False,False,3.0,
AMAD97101,AMAD,1997,Spring,SW Ridge,11,0,1997-04-06,False,5,6100.0,False,True,1.0,
AMAD97102,AMAD,1997,Spring,SW Ridge,4,0,1997-04-30,False,5,6100.0,False,True,,
NUMB97101,NUMB,1997,Spring,SW Ridge,6,0,1997-05-06,False,8,6100.0,False,False,1.0,
PUMO97102,PUMO,1997,Spring,SE Face,5,0,1997-05-10,False,5,6900.0,False,False,1.0,
AMAD97104,AMAD,1997,Spring,SW Ridge,4,0,1997-05-21,False,4,6750.0,False,True,1.0,
NEMJ97101,NEMJ,1997,Spring,W Ridge from NW side,9,0,1997-05-18,False,5,6410.0,False,False,3.0,
PUMO97101,PUMO,1997,Spring,SE Face/Ridge (to 6200m),11,0,1997-04-24,False,5,6200.0,False,False,1.0,
AMAD97103,AMAD,1997,Spring,SW Ridge,11,0,1997-05-06,False,5,6100.0,False,True,12.0,
CHOY97111,CHOY,1997,Spring,NW side,6,3,1997-05-03,True,1,8188.0,False,True,1.0,
CHOY97101,CHOY,1997,Spring,NW side,5,3,1997-05-03,True,1,8188.0,True,True,3.0,
CHOY97112,CHOY,1997,Spring,NW side,6,4,1997-05-06,True,1,8188.0,False,True,3.0,
CHOY97105,CHOY,1997,Spring,NW side,15,3,1997-05-02,True,1,8188.0,False,True,3.0,
CHOY97107,CHOY,1997,Spring,NW side,8,3,1997-05-02,True,1,8188.0,False,True,3.0,
CHOY97106,CHOY,1997,Spring,NW side,11,2,1997-05-07,True,1,8188.0,False,True,3.0,
CHOY97110,CHOY,1997,Spring,NW side,11,5,1997-04-30,True,1,8188.0,False,True,3.0,
CHOY97109,CHOY,1997,Spring,NW side,7,1,1997-05-14,True,1,8188.0,False,True,3.0,
CHOY97102,CHOY,1997,Spring,NW side,5,2,1997-05-02,True,1,8188.0,False,True,3.0,
CHOY97103,CHOY,1997,Spring,NW side,11,5,1997-05-13,True,1,8188.0,True,True,3.0,
CHOY97108,CHOY,1997,Spring,W Ridge-W Face,10,3,1997-05-06,True,1,8188.0,False,True,3.0,
CHOY97104,CHOY,1997,Spring,NW side,9,6,1997-04-27,True,1,8188.0,True,True,3.0,
CHOY97114,CHOY,1997,Spring,NW side,15,0,1997-05-13,False,4,7300.0,False,True,2.0,
CHOY97113,CHOY,1997,Spring,NW side,17,4,1997-05-19,True,1,8188.0,False,True,3.0,
CHOY97115,CHOY,1997,Spring,N Ridge from W,7,2,1997-05-21,True,1,8188.0,False,False,1.0,
CHOY97116,CHOY,1997,Spring,NW side,7,3,1997-05-20,True,1,8188.0,False,True,3.0,
LHOT97102,LHOT,1997,Spring,W Face,8,1,1997-05-23,True,1,8516.0,True,False,4.0,
LHOT97103,LHOT,1997,Spring,W Face,12,11,1997-05-24,True,1,8516.0,True,False,4.0,
LHOT97105,LHOT,1997,Spring,W Face,2,2,1997-05-26,True,1,8516.0,False,False,3.0,
NUPT97101,NUPT,1997,Spring,W Face of Lhotse,5,0,1997-05-07,False,10,7100.0,False,False,3.0,
LHOT97104,LHOT,1997,Spring,W Face,16,4,1997-05-27,True,1,8516.0,True,False,4.0,
SHAR97101,SHAR,1997,Spring,S Ridge at start of Lhotse Shar SE Ridge,8,0,1997-04-25,False,8,6400.0,False,False,2.0,
EVER97102,EVER,1997,Spring,N Face (a rib to 7500m)-N Ridge,22,2,1997-05-24,True,1,8849.0,True,False,4.0,
EVER97108,EVER,1997,Spring,N Col-NE Ridge,27,13,1997-05-02,True,1,8849.0,True,True,3.0,
EVER97116,EVER,1997,Spring,N Col-NE Ridge,1,0,1997-05-08,False,6,8560.0,False,True,2.0,solo
EVER97117,EVER,1997,Spring,N Col-NE Ridge,7,0,1997-05-21,False,8,8100.0,False,True,3.0,
EVER97114,EVER,1997,Spring,N Col-NE Ridge,5,3,1997-05-08,True,1,8849.0,True,True,3.0,
EVER97110,EVER,1997,Spring,N Col-NE Ridge,18,2,1997-05-29,True,1,8849.0,True,True,4.0,
EVER97124,EVER,1997,Spring,N Col-NE Ridge,20,2,1997-05-22,True,1,8849.0,True,True,3.0,
EVER97103,EVER,1997,Spring,N Col-NE Ridge,10,0,1997-05-08,False,7,8600.0,True,True,3.0,
EVER97118,EVER,1997,Spring,N Col-NE Ridge,2,0,,False,14,8100.0,False,True,3.0,
EVER97123,EVER,1997,Spring,N Col-NE Ridge,10,0,1997-05-30,False,4,8560.0,True,True,4.0,
EVER97112,EVER,1997,Spring,N Col-NE Ridge,3,3,1997-05-29,True,1,8849.0,True,True,3.0,
EVER97128,EVER,1997,Spring,N Col-NE Ridge,2,0,1997-05-23,False,4,8150.0,False,True,3.0,
EVER97119,EVER,1997,Spring,N Col-NE Ridge,1,0,1997-05-03,False,8,8200.0,False,True,1.0,solo
EVER97125,EVER,1997,Spring,N Col-NE Ridge,10,1,1997-05-07,True,1,8849.0,True,True,5.0,
EVER97120,EVER,1997,Spring,N Col-NE Ridge,2,0,1997-05-20,False,4,7800.0,False,True,1.0,
EVER97115,EVER,1997,Spring,S Col-SE Ridge,9,5,1997-05-23,True,1,8849.0,True,True,4.0,
EVER97104,EVER,1997,Spring,S Col-SE Ridge,22,2,1997-05-23,True,1,8849.0,True,True,4.0,
EVER97127,EVER,1997,Spring,S Col-SE Ridge,7,2,1997-05-21,True,1,8849.0,True,True,3.0,
EVER97113,EVER,1997,Spring,S Col-SE Ridge,2,2,1997-05-23,True,1,8849.0,True,True,4.0,
EVER97107,EVER,1997,Spring,S Col-SE Ridge,11,7,1997-05-21,True,1,8849.0,True,True,3.0,
EVER97121,EVER,1997,Spring,S Col-SE Ridge,6,1,1997-05-25,True,1,8849.0,True,True,4.0,
EVER97106,EVER,1997,Spring,S Col-SE Ridge,8,2,1997-05-23,True,1,8849.0,True,True,4.0,
EVER97105,EVER,1997,Spring,S Col-SE Ridge,11,0,1997-04-17,False,4,7200.0,True,True,2.0,
EVER97126,EVER,1997,Spring,S Col-SE Ridge,7,2,1997-05-23,True,1,8849.0,True,True,4.0,
EVER97109,EVER,1997,Spring,S Col-SE Ridge,8,2,1997-05-27,True,1,8849.0,True,True,4.0,
LHOT97101,LHOT,1997,Spring,W Face,11,2,1997-05-23,True,1,8516.0,True,False,4.0,
EVER97111,EVER,1997,Spring,S Col-SE Ridge,2,0,1997-05-28,False,9,8200.0,True,True,4.0,
